titulo,titulo_limpio,longitud_titulo,link
en español,en español,10,https://es.wikipedia.org/wiki/Wikipedia_en_espa%C3%B1ol
Ciencia y tecnología de la dinastía Song,ciencia y tecnología de la dinastía song,40,https://es.wikipedia.org/wiki/Ciencia_y_tecnolog%C3%ADa_de_la_dinast%C3%ADa_Song
Exposición Universal de Aichi de 2005,exposición universal de aichi de 2005,37,https://es.wikipedia.org/wiki/Exposici%C3%B3n_Universal_de_Aichi_de_2005
dinastía Song,dinastía song,13,https://es.wikipedia.org/wiki/Dinast%C3%ADa_Song
d. C.,d c,5,https://es.wikipedia.org/wiki/Despu%C3%A9s_de_Cristo
avances tecnológicos,avances tecnológicos,20,https://es.wikipedia.org/wiki/Tecnolog%C3%ADa
historia de China,historia de china,17,https://es.wikipedia.org/wiki/Historia_de_China
exámenes imperiales,exámenes imperiales,19,https://es.wikipedia.org/wiki/Sistema_de_examen_imperial_chino
ingeniería mecánica,ingeniería mecánica,19,https://es.wikipedia.org/wiki/Ingenier%C3%ADa_mec%C3%A1nica
China,china,5,https://es.wikipedia.org/wiki/China
Su Song,su song,7,https://es.wikipedia.org/wiki/Su_Song
astrónomo,astrónomo,9,https://es.wikipedia.org/wiki/Astr%C3%B3nomo
inventor,inventor,8,https://es.wikipedia.org/wiki/Inventor
Zhang Heng,zhang heng,10,https://es.wikipedia.org/wiki/Zhang_Heng
mecánicas,mecánicas,9,https://es.wikipedia.org/wiki/Mec%C3%A1nica
tipos móviles,tipos móviles,13,https://es.wikipedia.org/wiki/Tipos_m%C3%B3viles
impresión xilográfica,impresión xilográfica,21,https://es.wikipedia.org/wiki/Impresi%C3%B3n_xilogr%C3%A1fica
confucionistas,confucionistas,14,https://es.wikipedia.org/wiki/Confucionismo
pólvora,pólvora,7,https://es.wikipedia.org/wiki/P%C3%B3lvora
armas de fuego,armas de fuego,14,https://es.wikipedia.org/wiki/Arma_de_fuego
cañones,cañones,7,https://es.wikipedia.org/wiki/Ca%C3%B1%C3%B3n_(artiller%C3%ADa)
Liao,liao,4,https://es.wikipedia.org/wiki/Dinast%C3%ADa_Liao
Jin,jin,3,https://es.wikipedia.org/wiki/Dinast%C3%ADa_Jin_(265-420)
Imperio de Xi Xia,imperio de xi xia,17,https://es.wikipedia.org/wiki/Imperio_tanguta
ejército mongol,ejército mongol,15,https://es.wikipedia.org/wiki/Ej%C3%A9rcito_mongol
Kublai Kan,kublai kan,10,https://es.wikipedia.org/wiki/Kublai_Kan
ingeniería civil,ingeniería civil,16,https://es.wikipedia.org/wiki/Ingenier%C3%ADa_civil
navegación,navegación,10,https://es.wikipedia.org/wiki/Navegaci%C3%B3n_mar%C3%ADtima
metalurgia,metalurgia,10,https://es.wikipedia.org/wiki/Metalurgia
molinos de viento,molinos de viento,17,https://es.wikipedia.org/wiki/Molino#Molinos_de_viento
