titulo,link
en español,https://es.wikipedia.org/wiki/Wikipedia_en_espa%C3%B1ol
Ciencia y tecnología de la dinastía Song,https://es.wikipedia.org/wiki/Ciencia_y_tecnolog%C3%ADa_de_la_dinast%C3%ADa_Song
Exposición Universal de Aichi de 2005,https://es.wikipedia.org/wiki/Exposici%C3%B3n_Universal_de_Aichi_de_2005
dinastía Song,https://es.wikipedia.org/wiki/Dinast%C3%ADa_Song
d. C.,https://es.wikipedia.org/wiki/Despu%C3%A9s_de_Cristo
avances tecnológicos,https://es.wikipedia.org/wiki/Tecnolog%C3%ADa
historia de China,https://es.wikipedia.org/wiki/Historia_de_China
exámenes imperiales,https://es.wikipedia.org/wiki/Sistema_de_examen_imperial_chino
ingeniería mecánica,https://es.wikipedia.org/wiki/Ingenier%C3%ADa_mec%C3%A1nica
China,https://es.wikipedia.org/wiki/China
Su Song,https://es.wikipedia.org/wiki/Su_Song
astrónomo,https://es.wikipedia.org/wiki/Astr%C3%B3nomo
inventor,https://es.wikipedia.org/wiki/Inventor
Zhang Heng,https://es.wikipedia.org/wiki/Zhang_Heng
mecánicas,https://es.wikipedia.org/wiki/Mec%C3%A1nica
tipos móviles,https://es.wikipedia.org/wiki/Tipos_m%C3%B3viles
impresión xilográfica,https://es.wikipedia.org/wiki/Impresi%C3%B3n_xilogr%C3%A1fica
confucionistas,https://es.wikipedia.org/wiki/Confucionismo
pólvora,https://es.wikipedia.org/wiki/P%C3%B3lvora
armas de fuego,https://es.wikipedia.org/wiki/Arma_de_fuego
cañones,https://es.wikipedia.org/wiki/Ca%C3%B1%C3%B3n_(artiller%C3%ADa)
Liao,https://es.wikipedia.org/wiki/Dinast%C3%ADa_Liao
Jin,https://es.wikipedia.org/wiki/Dinast%C3%ADa_Jin_(265-420)
Imperio de Xi Xia,https://es.wikipedia.org/wiki/Imperio_tanguta
ejército mongol,https://es.wikipedia.org/wiki/Ej%C3%A9rcito_mongol
Kublai Kan,https://es.wikipedia.org/wiki/Kublai_Kan
ingeniería civil,https://es.wikipedia.org/wiki/Ingenier%C3%ADa_civil
navegación,https://es.wikipedia.org/wiki/Navegaci%C3%B3n_mar%C3%ADtima
metalurgia,https://es.wikipedia.org/wiki/Metalurgia
molinos de viento,https://es.wikipedia.org/wiki/Molino#Molinos_de_viento
